(37.7749, -122.4194)
(40.7127, -74.0059)
(39.0059, -84.0118)
(30.2669, -81.6036)
(47.6062, -122.3321)
(33.7488, -118.2437)
(41.2776, -81.6500)
(42.3601, -71.0570)
(39.9526, -75.1637)
(41.5774, -90.4178)
(32.7763, -97.3394)
(35.2270, -80.8431)
(42.3581, -71.0570)
(39.7684, -84.1860)
(34.0522, -118.2437)
(41.8781, -87.6298)
(33.7488, -117.8288)
(38.8976, -77.0365)
(37.7749, -122.3321)
(40.7127, -73.9403)
(39.0059, -83.9474)
(30.2669, -80.7237)
(47.6062, -122.0833)
(33.7488, -118.4727)
(41.2776, -81.5847)
(42.3601, -70.9813)
(39.9526, -75.1073)
(41.5774, -90.3524)
(32.7763, -97.2738)
(35.2270, -80.7775)
(42.3581, -71.0227)
(39.7684, -84.1206)
(34.0522, -118.2783)
(41.8781, -87.5645)
(33.7488, -117.7624)
(38.8976, -77.0021)
(37.7749, -122.2667)
(40.7127, -73.8749)
(39.0059, -83.8819)
(30.2669, -80.6572)
(47.6062, -121.9167)
